V_DC,V_modulation_raw,V_modulation_err,phase_sign,ptp_Y_raw,ptp_Y_err
 9.5,          348.51,             0.2,         1,      8.5,      1.0
 9.6,           350.2,             0.1,         1,       10,      0.5
 9.7,           353.1,               1,         1,       11,      1.0
 9.8,           356.3,             0.5,         1,     12.3,      0.5
 9.9,             390,             0.5,         1,     13.5,      1.0
  10,           402.9,            0.05,         1,     12.5,      1.0
10.1,             407,            0.05,         1,     14.8,      1.0
10.2,          411.02,            0.05,         1,     16.5,      1.0
10.3,          415.15,            0.05,         1,       19,      0.5
10.4,          419.42,            0.05,         1,       21,      1.0
10.5,           423.5,            0.05,         1,       32,      1.0
10.6,          427.55,            0.05,         1,       38,      2.0
10.7,           434.5,            0.05,         1,       51,      1.0
10.8,          438.55,            0.05,         1,       61,      1.0
10.9,           442.6,            0.05,         1,       74,      1.0
  11,          446.56,            0.05,         1,       91,      1.0
11.1,          450.77,            0.05,         1,      109,      1.0
11.2,          455.29,            0.05,         1,      131,      1.0
11.3,          459.48,            0.05,         1,      150,      1.0
11.4,          463.73,            0.05,         1,      160,      1.0
11.5,          468.18,            0.05,         1,      159,      1.0
11.6,          472.37,            0.05,         1,      142,      1.0
11.7,          476.92,            0.05,         1,    111.5,      1.0
11.8,          480.95,             0.5,         1,       74,      1.0
11.9,          486.67,            0.05,         1,       33,      1.0
  12,          490.93,            0.05,        -1,       18,      1.0
12.1,          494.65,            0.05,        -1,       61,      1.0
12.2,          498.36,            0.05,        -1,      101,      1.0
12.3,          502.48,            0.05,        -1,      131,      1.0
12.4,           506.8,            0.05,        -1,      155,      3.0
12.5,          511.44,            0.05,        -1,      160,      2.0
12.6,          515.74,            0.05,        -1,      151,      2.0
12.7,          519.63,            0.05,        -1,      135,      2.0
12.8,          524.15,            0.05,        -1,      114,      2.0
12.9,          528.68,            0.05,        -1,       94,      3.0
  13,          532.55,            0.05,        -1,       80,      2.0
13.1,          487.21,            0.05,        -1,       54,      3.0
13.2,           490.8,            0.05,        -1,       45,      2.0
13.3,          494.35,            0.05,        -1,       38,      2.0
13.4,          497.85,            0.05,        -1,       32,      2.0
13.5,           501.6,            0.05,        -1,       28,      3.0
13.6,           505.1,            0.05,        -1,       24,      2.0
13.7,          508.76,            0.05,        -1,       19,      1.0
13.8,          512.34,            0.05,        -1,       14,      1.0
13.9,          514.37,            0.05,        -1,       12,      1.0
  14,          517.97,            0.05,        -1,       10,      1.0
